Municipality,2021,2022,2023,2024,2025,Total
Aurora,67,112,113,126,1,419
East Gwillimbury,58,67,79,123,0,327
Georgina,140,173,264,215,1,793
King,25,70,53,79,4,231
Markham,423,595,621,559,6,2204
Newmarket,154,211,303,246,0,914
Richmond Hill,302,450,490,437,1,1680
Vaughan,602,806,877,821,8,3114
Whitchurch-Stouffville,57,71,73,80,0,281
