Municipality,2021,2022,2023,2024,2025,Total
Aurora,9,10,9,8,0,36
East Gwillimbury,4,9,5,3,0,21
Georgina,8,16,21,8,0,53
King,2,5,6,5,0,18
Markham,43,48,51,38,1,181
Newmarket,21,33,30,33,0,117
Richmond Hill,43,46,48,48,0,185
Vaughan,59,83,86,105,1,334
Whitchurch-Stouffville,4,11,11,7,0,33
