Municipality,2021,2022,2023,2024,2025,Total
Aurora,1.35,2.08,1.95,2.3,0.02,7.7
East Gwillimbury,1.67,1.93,2.28,3.55,0.0,9.44
Georgina,2.94,3.63,5.54,4.51,0.02,16.64
King,0.91,2.56,1.94,2.89,0.15,8.45
Markham,1.3,1.9,2.05,1.86,0.02,7.13
Newmarket,2.21,2.89,4.15,3.53,0.0,12.77
Richmond Hill,1.61,2.48,2.68,2.47,0.0,9.26
Vaughan,1.97,2.73,2.88,2.76,0.02,10.37
Whitchurch-Stouffville,1.14,1.42,1.46,1.6,0.0,5.64
