Municipality,2021,2022,2023,2024,2025,Total
Vaughan,33.86,40.71,46.4,43.52,0.23,164.72
Markham,21.89,25.88,29.51,26.43,0.17,103.89
Richmond Hill,26.53,31.59,37.54,35.51,0.16,131.33
Newmarket,31.69,35.9,44.37,45.09,0.14,157.18
Georgina,46.09,44.94,52.71,50.65,0.25,194.64
Aurora,25.72,28.51,34.32,35.5,0.21,124.26
East Gwillimbury,32.25,31.93,42.64,44.49,0.12,151.43
Whitchurch-Stouffville,23.68,25.11,28.56,24.57,0.16,102.08
King,35.38,37.1,40.35,42.11,0.29,155.23
