Municipality,2021,2022,2023,2024,2025,Total
Aurora,0,1,1,1,0,3
East Gwillimbury,0,0,0,5,0,5
Georgina,3,1,4,7,0,15
King,0,2,2,6,1,11
Markham,3,6,7,22,0,38
Newmarket,1,2,1,2,0,6
Richmond Hill,7,7,1,11,0,26
Vaughan,14,17,17,20,0,68
Whitchurch-Stouffville,2,0,0,4,0,6
