Municipality,2021,2022,2023,2024,2025,Total
Aurora,9,12,17,10,0,48
East Gwillimbury,4,9,5,3,0,21
Georgina,8,16,21,8,0,53
King,2,5,6,5,0,18
Markham,46,50,54,44,1,195
Newmarket,23,37,31,38,0,129
Richmond Hill,45,52,52,49,0,198
Vaughan,61,84,89,107,1,342
Whitchurch-Stouffville,4,11,11,7,0,33
