Municipality,2021,2022,2023,2024,2025,Total
Vaughan,10941,13155,14993,14061,73,53223
Markham,7411,8761,9989,8948,59,35168
Richmond Hill,5360,6382,7584,7174,32,26532
Newmarket,2787,3157,3902,3965,12,13823
Georgina,2196,2141,2511,2413,12,9273
Aurora,1596,1769,2130,2203,13,7711
East Gwillimbury,1117,1106,1477,1541,4,5245
Whitchurch-Stouffville,1181,1252,1424,1225,8,5090
King,967,1014,1103,1151,8,4243
