Municipality,2021,2022,2023,2024,2025,Total
Aurora,1.08,1.8,1.82,2.03,0.02,6.75
East Gwillimbury,1.67,1.93,2.28,3.55,0.0,9.44
Georgina,2.94,3.63,5.54,4.51,0.02,16.64
King,0.91,2.56,1.94,2.89,0.15,8.45
Markham,1.25,1.76,1.83,1.65,0.02,6.51
Newmarket,1.75,2.4,3.45,2.8,0.0,10.39
Richmond Hill,1.49,2.23,2.43,2.16,0.0,8.32
Vaughan,1.86,2.49,2.71,2.54,0.02,9.64
Whitchurch-Stouffville,1.14,1.42,1.46,1.6,0.0,5.64
