Municipality,2021,2022,2023,2024,2025,Total
Aurora,0,1,1,1,0,3
East Gwillimbury,0,0,0,5,0,5
Georgina,3,1,4,7,0,15
King,0,2,2,6,1,11
Markham,4,6,8,25,0,43
Newmarket,2,2,1,2,0,7
Richmond Hill,7,7,1,11,0,26
Vaughan,14,18,17,21,0,70
Whitchurch-Stouffville,2,0,0,4,0,6
